ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
33,62,46010,6212,46010
33,62,47010,6212,47010
33,62,47480,6212,47480
34,63,48290,6212,48290
34,63,49290,6212,49290
35,71,50290,6212,50290
36,72,51100,6212,51100
36,72,51100,6212,51100
36,72,52100,6212,52100
36,72,53100,6212,53100
37,74,53910,6212,53910
37,74,57910,6212,57910
37,74,57910,6212,57910
37,74,58720,6212,58720
37,74,58720,6212,58720
38,76,59530,6212,59530
39,78,60530,6212,60530
39,78,61530,6212,61530
39,78,61530,6212,61530
39,78,62340,6212,62340
40,82,63340,6212,63340
40,82,64340,6212,64340
40,82,65340,6212,65340
41,84,66340,6212,66340
42,88,66990,6212,66990
43,92,67800,6212,67800
43,92,68800,6212,68800
43,92,69800,6212,69800
44,100,70270,6212,70270
44,100,70590,6212,70590
44,100,70590,6212,70590
45,102,71400,6212,71400
45,102,72210,6212,72210
45,102,72760,6212,72760
45,102,73570,6212,73570
45,102,73570,6212,73570
45,102,73570,6212,73570
46,106,74570,6212,74570
47,114,75570,6212,75570
47,114,76570,6212,76570
47,114,77380,6212,77380
47,114,78380,6212,78380
47,114,78850,6212,78850
48,116,79850,6212,79850
48,116,80850,6212,80850
48,116,81660,6212,81660
48,116,82660,6212,82660
48,116,83660,6212,83660
48,116,84660,6212,84660
48,116,84660,6212,84660
48,116,84660,6212,84660
48,116,84660,6212,84660
48,116,84660,6212,84660
49,118,85660,6212,85660
49,118,86660,6212,86660
50,120,87660,6212,87660
50,120,88470,6212,88470
51,128,88470,6212,88470
51,128,88470,6212,88470
52,136,89470,6212,89470
52,136,89470,6212,89470
52,136,89470,6212,89470
52,136,89470,6212,89470
52,136,90120,6212,90120
53,140,90930,6212,90930
53,140,90930,6212,90930
54,148,91930,6212,91930
54,148,92930,6212,92930
54,148,93400,6212,93400
54,148,94400,6212,94400
55,150,95400,6212,95400
55,150,96210,6212,96210
55,150,97210,6212,97210
56,152,98210,6212,98210
56,152,98210,6212,98210
57,154,98860,6212,98860
58,162,99860,6212,99860
58,162,99860,6212,99860
58,162,100510,6212,100510
58,162,100980,6212,100980
58,162,101980,6212,101980
58,162,102790,6212,102790
58,162,103600,6212,103600
59,166,104600,6212,104600
59,166,105410,6212,105410
59,166,106410,6212,106410
59,166,106880,6212,106880
59,166,107880,6212,107880
59,166,108880,6212,108880
60,170,109690,6212,109690
61,172,110690,6212,110690
61,172,111010,6212,111010
61,172,111560,6212,111560
61,172,112560,6212,112560
61,172,113560,6212,113560
61,172,114020,6212,114020
61,172,115020,6212,115020
61,172,115830,6212,115830
62,174,116830,6212,116830
62,174,117830,6212,117830
62,174,118150,6212,118150
62,174,119150,6212,119150
62,174,119470,6212,119470
63,176,120470,6212,120470
63,176,120790,6212,120790
63,176,120790,6212,120790
63,176,121790,6212,121790
63,176,121790,6212,121790
63,176,122790,6212,122790
64,178,123790,6212,123790
64,178,124600,6212,124600
64,178,125600,6212,125600
64,178,125600,6212,125600
64,178,126600,6212,126600
65,186,127070,6212,127070
65,186,127880,6212,127880
66,188,128880,6212,128880
66,188,129530,6212,129530
66,188,129530,6212,129530
66,188,129530,6212,129530
66,188,129760,6212,129760
66,188,130080,6212,130080
66,188,130400,6212,130400
66,188,131210,6212,131210
66,188,132210,6212,132210
66,188,133020,6212,133020
67,196,133020,6212,133020
67,196,133020,6212,133020
67,196,134020,6212,134020
67,196,134830,6212,134830
67,196,134830,6212,134830
67,196,134830,6212,134830
67,196,135640,6212,135640
67,196,135960,6212,135960
68,198,136960,6212,136960
68,198,137960,6212,137960
68,198,138960,6212,138960
68,198,139610,6212,139610
69,200,140610,6212,140610
69,200,141420,6212,141420
69,200,141420,6212,141420
70,204,142420,6212,142420
71,208,143420,6212,143420
71,208,144420,6212,144420
72,216,145230,6212,145230
73,220,145600,6212,145600
73,220,146070,6212,146070
73,220,147070,6212,147070
73,220,147540,6212,147540
73,220,148540,6212,148540
74,222,149540,6212,149540
74,222,150010,6212,150010
74,222,151010,6212,151010
75,226,151820,6212,151820
76,228,152630,6212,152630
77,230,153630,6212,153630
77,230,153630,6212,153630
78,234,154630,6212,154630
78,234,155100,6212,155100
78,234,156100,6212,156100
78,234,156570,6212,156570
78,234,156940,6212,156940
79,236,157940,6212,157940
80,244,158750,6212,158750
80,244,159560,6212,159560
80,244,160020,6212,160020
81,252,160830,6212,160830
81,252,161480,6212,161480
81,252,161710,6212,161710
81,252,161710,6212,161710
81,252,161710,6212,161710
81,252,161710,6212,161710
81,252,162710,6212,162710
81,252,163520,6212,163520
82,256,167520,6212,167520
82,256,168520,6212,168520
83,264,169520,6212,169520
84,272,170520,6212,170520
84,272,171520,6212,171520
84,272,172520,6212,172520
84,272,172990,6212,172990
85,274,173990,6212,173990
85,274,174990,6212,174990
85,274,175460,6212,175460
85,274,176460,6212,176460
86,276,177460,6212,177460
86,276,178270,6212,178270
86,276,179270,6212,179270
86,276,179740,6212,179740
86,276,180740,6212,180740
86,276,181740,6212,181740
86,276,182740,6212,182740
87,280,183740,6212,183740
88,282,184740,6212,184740
88,282,185200,6212,185200
88,282,186200,6212,186200
88,282,186200,6212,186200
88,282,187200,6212,187200
89,284,188200,6212,188200
89,284,189200,6212,189200
89,284,189520,6212,189520
89,284,190330,6212,190330
90,288,191140,6212,191140
90,288,191690,6212,191690
90,288,192160,6212,192160
90,288,192160,6212,192160
90,288,192390,6212,192390
90,288,192860,6212,192860
90,288,193080,6212,193080
91,290,194080,6212,194080
92,298,194890,6212,194890
92,298,195890,6212,195890
92,298,196700,6212,196700
92,298,196700,6212,196700
92,298,197170,6212,197170
92,298,198170,6212,198170
92,298,199170,6212,199170
92,298,199980,6212,199980
92,298,200980,6212,200980
93,300,201980,6212,201980
93,300,202450,6212,202450
93,300,203450,6212,203450
94,304,204260,6212,204260
95,308,205260,6212,205260
95,308,205730,6212,205730
95,308,205730,6212,205730
95,308,206540,6212,206540
95,308,207350,6212,207350
95,308,207350,6212,207350
96,310,208350,6212,208350
96,310,209350,6212,209350
96,310,209580,6212,209580
97,312,211580,6212,211580
97,312,211580,6212,211580
98,320,212390,6212,212390
99,328,212390,6212,212390
99,328,213390,6212,213390
99,328,214390,6212,214390
99,328,215200,6212,215200
99,328,216200,6212,216200
99,328,217200,6212,217200
99,328,218200,6212,218200
100,330,219010,6212,219010
100,330,219330,6212,219330
100,330,220140,6212,220140
100,330,221140,6212,221140
100,330,222140,6212,222140
101,338,222140,6212,222140
102,340,223140,6212,223140
102,340,223790,6212,223790
102,340,223790,6212,223790
102,340,224790,6212,224790
102,340,226790,6212,226790
102,340,227020,6212,227020
102,340,227490,6212,227490
103,342,228490,6212,228490
103,342,229300,6212,229300
104,346,230300,6212,230300
104,346,231300,6212,231300
104,346,232300,6212,232300
104,346,233110,6212,233110
104,346,233110,6212,233110
104,346,233920,6212,233920
104,346,234510,6212,234510
104,346,234830,6212,234830
105,348,235830,6212,235830
105,348,235830,6212,235830
105,348,235830,6212,235830
105,348,236300,6212,236300
105,348,237110,6212,237110
105,348,237110,6212,237110
106,352,238110,6212,238110
106,352,238340,6212,238340
107,354,239340,6212,239340
107,354,240340,6212,240340
108,356,241340,6212,241340
108,356,241340,6212,241340
108,356,241660,6212,241660
108,356,242130,6212,242130
108,356,243130,6212,243130
108,356,243130,6212,243130
109,364,243780,6212,243780
109,364,244590,6212,244590
110,372,252590,6212,252590
111,380,253590,6212,253590
112,388,254590,6212,254590
112,388,255590,6212,255590
112,388,256240,6212,256240
112,388,257240,6212,257240
112,388,257710,6212,257710
112,388,258710,6212,258710
112,388,259710,6212,259710
112,388,260710,6212,260710
112,388,261710,6212,261710
112,388,262710,6212,262710
112,388,262940,6212,262940
112,388,263940,6212,263940
113,390,264940,6212,264940
113,390,265750,6212,265750
114,392,266560,6212,266560
114,392,267030,6212,267030
114,392,268030,6212,268030
114,392,269030,6212,269030
115,394,270030,6212,270030
115,394,271030,6212,271030
115,394,271030,6212,271030
116,398,271580,6212,271580
116,398,272050,6212,272050
116,398,272700,6212,272700
116,398,272700,6212,272700
116,398,273700,6212,273700
116,398,274700,6212,274700
116,398,275510,6212,275510
116,398,275980,6212,275980
116,398,276980,6212,276980
116,398,277980,6212,277980
116,398,278980,6212,278980
116,398,279790,6212,279790
116,398,280790,6212,280790
117,406,288790,6212,288790
118,414,289600,6212,289600
119,416,290600,6212,290600
119,416,291150,6212,291150
119,416,292150,6212,292150
119,416,293150,6212,293150
119,416,293620,6212,293620
119,416,294620,6212,294620
120,420,295430,6212,295430
120,420,296080,6212,296080
120,420,297080,6212,297080
120,420,298080,6212,298080
121,422,299080,6212,299080
121,422,300080,6212,300080
121,422,301080,6212,301080
121,422,302080,6212,302080
121,422,303080,6212,303080
121,422,304080,6212,304080
121,422,304550,6212,304550
121,422,305550,6212,305550
121,422,305550,6212,305550
121,422,306550,6212,306550
121,422,306550,6212,306550
122,424,307550,6212,307550
122,424,308550,6212,308550
122,424,308550,6212,308550
122,424,309550,6212,309550
122,424,309780,6212,309780
122,424,310780,6212,310780
122,424,311780,6212,311780
123,432,311780,6212,311780
124,440,311780,6212,311780
124,440,312240,6212,312240
125,442,313240,6212,313240
125,442,314050,6212,314050
125,442,314050,6212,314050
126,446,315050,6212,315050
126,446,315270,6212,315270
126,446,316270,6212,316270
126,446,317080,6212,317080
127,450,318080,6212,318080
128,452,318540,6212,318540
128,452,319350,6212,319350
129,454,320160,6212,320160
129,454,320810,6212,320810
130,456,321810,6212,321810
130,456,322040,6212,322040
130,456,323040,6212,323040
130,456,324040,6212,324040
131,460,325040,6212,325040
131,460,326040,6212,326040
131,460,326510,6212,326510
132,462,326980,6212,326980
132,462,327980,6212,327980
133,464,328980,6212,328980
133,464,329980,6212,329980
134,466,330980,6212,330980
134,466,331300,6212,331300
134,466,332300,6212,332300
134,466,333110,6212,333110
134,466,333920,6212,333920
134,466,334920,6212,334920
135,470,335920,6212,335920
135,470,336920,6212,336920
135,470,337730,6212,337730
135,470,338540,6212,338540
135,470,339540,6212,339540
135,470,340010,6212,340010
135,470,341010,6212,341010
135,470,341010,6212,341010
135,470,341010,6212,341010
135,470,342010,6212,342010
136,478,342010,6212,342010
136,478,343010,6212,343010
137,486,343010,6212,343010
138,488,343820,6212,343820
138,488,344820,6212,344820
138,488,345050,6212,345050
138,488,346050,6212,346050
138,488,346860,6212,346860
138,488,347670,6212,347670
138,488,347670,6212,347670
138,488,348670,6212,348670
138,488,349020,6212,349020
139,490,350020,6212,350020
139,490,351020,6212,351020
139,490,351020,6212,351020
139,490,351340,6212,351340
140,492,352340,6212,352340
140,492,353340,6212,353340
140,492,353340,6212,353340
140,492,354340,6212,354340
141,500,355340,6212,355340
142,502,356150,6212,356150
142,502,357150,6212,357150
142,502,357150,6212,357150
142,502,358150,6212,358150
142,502,359150,6212,359150
142,502,360150,6212,360150
142,502,360620,6212,360620
143,504,361620,6212,361620
143,504,362620,6212,362620
143,504,363430,6212,363430
144,506,364240,6212,364240
144,506,365240,6212,365240
144,506,365240,6212,365240
145,514,365240,6212,365240
146,522,366240,6212,366240
146,522,366470,6212,366470
146,522,367470,6212,367470
147,524,368470,6212,368470
147,524,369280,6212,369280
148,526,369930,6212,369930
148,526,369930,6212,369930
148,526,370930,6212,370930
148,526,371930,6212,371930
148,526,372390,6212,372390
148,526,373200,6212,373200
148,526,374200,6212,374200
148,526,375200,6212,375200
148,526,376200,6212,376200
148,526,377200,6212,377200
148,526,378010,6212,378010
148,526,378010,6212,378010
149,534,379010,6212,379010
149,534,380010,6212,380010
149,534,381010,6212,381010
149,534,381480,6212,381480
150,536,382480,6212,382480
150,536,383480,6212,383480
150,536,383480,6212,383480
150,536,384480,6212,384480
150,536,385290,6212,385290
150,536,385520,6212,385520
150,536,386520,6212,386520
150,536,387520,6212,387520
150,536,388520,6212,388520
151,544,389520,6212,389520
151,544,389990,6212,389990
152,546,390990,6212,390990
152,546,391990,6212,391990
152,546,392990,6212,392990
152,546,393990,6212,393990
152,546,394800,6212,394800
152,546,395800,6212,395800
152,546,396800,6212,396800
152,546,397800,6212,397800
153,548,398030,6212,398030
153,548,398030,6212,398030
154,556,399030,6212,399030
154,556,399840,6212,399840
154,556,400840,6212,400840
154,556,401840,6212,401840
154,556,402160,6212,402160
154,556,403160,6212,403160
154,556,403160,6212,403160
155,558,404160,6212,404160
155,558,404970,6212,404970
155,558,405520,6212,405520
155,558,405520,6212,405520
155,558,405680,6212,405680
155,558,406000,6212,406000
155,558,406810,6212,406810
155,558,407280,6212,407280
155,558,408280,6212,408280
155,558,409090,6212,409090
156,562,409560,6212,409560
156,562,410020,6212,410020
157,564,411020,6212,411020
157,564,412020,6212,412020
158,566,413020,6212,413020
158,566,413240,6212,413240
158,566,413240,6212,413240
158,566,414240,6212,414240
159,574,422240,6212,422240
160,582,423240,6212,423240
160,582,424050,6212,424050
160,582,424050,6212,424050
160,582,425050,6212,425050
161,590,426050,6212,426050
161,590,426270,6212,426270
161,590,426920,6212,426920
161,590,427920,6212,427920
161,590,428920,6212,428920
162,592,429920,6212,429920
162,592,430570,6212,430570
162,592,431380,6212,431380
162,592,432380,6212,432380
162,592,433030,6212,433030
162,592,433500,6212,433500
162,592,433500,6212,433500
162,592,434310,6212,434310
162,592,434780,6212,434780
162,592,435250,6212,435250
162,592,435720,6212,435720
162,592,436190,6212,436190
163,600,437000,6212,437000
163,600,438000,6212,438000
163,600,438320,6212,438320
163,600,439320,6212,439320
163,600,440130,6212,440130
163,600,440600,6212,440600
164,608,441600,6212,441600
164,608,441920,6212,441920
165,610,442730,6212,442730
165,610,442890,6212,442890
165,610,443890,6212,443890
165,610,444540,6212,444540
165,610,444540,6212,444540
165,610,445540,6212,445540
165,610,446010,6212,446010
166,612,447010,6212,447010
166,612,447330,6212,447330
166,612,448330,6212,448330
166,612,449330,6212,449330
166,612,449700,6212,449700
167,614,450700,6212,450700
167,614,451700,6212,451700
167,614,452700,6212,452700
167,614,453700,6212,453700
167,614,454700,6212,454700
167,614,455700,6212,455700
167,614,456700,6212,456700
167,614,456700,6212,456700
167,614,456700,6212,456700
167,614,456930,6212,456930
168,616,457930,6212,457930
168,616,457930,6212,457930
168,616,458250,6212,458250
168,616,458720,6212,458720
169,618,459720,6212,459720
169,618,460720,6212,460720
169,618,461720,6212,461720
169,618,462530,6212,462530
169,618,463340,6212,463340
169,618,463820,6212,463820
169,618,464820,6212,464820
170,620,465820,6212,465820
170,620,466820,6212,466820
170,620,466820,6212,466820
171,628,467820,6212,467820
171,628,468820,6212,468820
171,628,469630,6212,469630
171,628,470630,6212,470630
171,628,471100,6212,471100
172,630,472100,6212,472100
172,630,472910,6212,472910
173,632,473720,6212,473720
173,632,474720,6212,474720
174,636,475720,6212,475720
174,636,476720,6212,476720
174,636,477530,6212,477530
174,636,477760,6212,477760
175,638,478760,6212,478760
175,638,478760,6212,478760
175,638,479760,6212,479760
175,638,479980,6212,479980
176,646,480450,6212,480450
176,646,481260,6212,481260
177,654,482260,6212,482260
177,654,483260,6212,483260
178,656,484260,6212,484260
178,656,485070,6212,485070
178,656,485660,6212,485660
178,656,486660,6212,486660
179,664,494660,6212,494660
180,672,495210,6212,495210
180,672,496020,6212,496020
180,672,496020,6212,496020
180,672,497020,6212,497020
180,672,498020,6212,498020
180,672,498020,6212,498020
180,672,499020,6212,499020
181,674,500020,6212,500020
181,674,500250,6212,500250
181,674,501250,6212,501250
181,674,501410,6212,501410
181,674,502410,6212,502410
181,674,503410,6212,503410
181,674,504410,6212,504410
181,674,504880,6212,504880
181,674,505350,6212,505350
181,674,505820,6212,505820
181,674,506820,6212,506820
181,674,507630,6212,507630
181,674,508630,6212,508630
181,674,509630,6212,509630
181,674,509950,6212,509950
181,674,510760,6212,510760
181,674,511080,6212,511080
181,674,511550,6212,511550
182,678,512360,6212,512360
182,678,512830,6212,512830
183,680,513830,6212,513830
183,680,514300,6212,514300
183,680,514300,6212,514300
183,680,514620,6212,514620
183,680,515620,6212,515620
183,680,516620,6212,516620
183,680,517430,6212,517430
183,680,518430,6212,518430
183,680,518900,6212,518900
183,680,519220,6212,519220
183,680,519690,6212,519690
184,688,520500,6212,520500
185,690,520970,6212,520970
185,690,521970,6212,521970
185,690,522970,6212,522970
185,690,523970,6212,523970
185,690,523970,6212,523970
185,690,524620,6212,524620
185,690,525620,6212,525620
185,690,526430,6212,526430
185,690,526430,6212,526430
185,690,527240,6212,527240
185,690,528240,6212,528240
186,698,529240,6212,529240
186,698,529710,6212,529710
186,698,529710,6212,529710
186,698,529710,6212,529710
186,698,530710,6212,530710
186,698,531710,6212,531710
186,698,532710,6212,532710
186,698,533710,6212,533710
187,706,534710,6212,534710
187,706,535030,6212,535030
187,706,536030,6212,536030
188,708,537030,6212,537030
188,708,537030,6212,537030
188,708,537030,6212,537030
188,708,538030,6212,538030
189,710,539030,6212,539030
189,710,539500,6212,539500
190,712,540500,6212,540500
190,712,540500,6212,540500
190,712,541150,6212,541150
190,712,542150,6212,542150
190,712,542620,6212,542620
190,712,542620,6212,542620
190,712,542730,6212,542730
190,712,543200,6212,543200
190,712,544200,6212,544200
190,712,544200,6212,544200
190,712,545200,6212,545200
190,712,546200,6212,546200
190,712,547200,6212,547200
190,712,548200,6212,548200
191,720,549200,6212,549200
191,720,550200,6212,550200
191,720,551200,6212,551200
192,722,551430,6212,551430
192,722,552430,6212,552430
192,722,553430,6212,553430
192,722,554240,6212,554240
192,722,555240,6212,555240
192,722,556240,6212,556240
192,722,556700,6212,556700
192,722,557700,6212,557700
192,722,558160,6212,558160
193,724,559160,6212,559160
194,732,559970,6212,559970
194,732,559970,6212,559970
194,732,560970,6212,560970
194,732,561970,6212,561970
194,732,562970,6212,562970
194,732,563780,6212,563780
194,732,564370,6212,564370
194,732,564840,6212,564840
194,732,565840,6212,565840
195,740,569840,6212,569840
195,740,569840,6212,569840
195,740,570310,6212,570310
195,740,570310,6212,570310
195,740,570630,6212,570630
196,748,571440,6212,571440
196,748,572440,6212,572440
196,748,573440,6212,573440
196,748,573440,6212,573440
196,748,574440,6212,574440
196,748,574670,6212,574670
196,748,575670,6212,575670
196,748,576670,6212,576670
196,748,577670,6212,577670
196,748,577670,6212,577670
197,756,578670,6212,578670
197,756,579140,6212,579140
197,756,579790,6212,579790
197,756,580790,6212,580790
197,756,581790,6212,581790
197,756,581790,6212,581790
197,756,582790,6212,582790
198,758,583260,6212,583260
198,758,583580,6212,583580
198,758,584390,6212,584390
198,758,585200,6212,585200
198,758,585670,6212,585670
198,758,586670,6212,586670
198,758,586670,6212,586670
198,758,587670,6212,587670
199,766,588670,6212,588670
199,766,589670,6212,589670
199,766,590670,6212,590670
199,766,590890,6212,590890
199,766,591890,6212,591890
199,766,592890,6212,592890
199,766,593890,6212,593890
199,766,594700,6212,594700
199,766,594700,6212,594700
199,766,595160,6212,595160
200,768,595380,6212,595380
200,768,596380,6212,596380
200,768,597380,6212,597380
200,768,597850,6212,597850
200,768,598850,6212,598850
200,768,599850,6212,599850
200,768,600850,6212,600850
201,776,608850,6212,608850
201,776,609170,6212,609170
202,784,609720,6212,609720
202,784,610720,6212,610720
202,784,610720,6212,610720
203,786,611720,6212,611720
203,786,612530,6212,612530
203,786,613000,6212,613000
203,786,613810,6212,613810
203,786,614810,6212,614810
203,786,615030,6212,615030
203,786,616030,6212,616030
204,788,616500,6212,616500
204,788,617310,6212,617310
204,788,618310,6212,618310
204,788,619120,6212,619120
204,788,619440,6212,619440
204,788,619440,6212,619440
204,788,620250,6212,620250
204,788,621060,6212,621060
204,788,621060,6212,621060
204,788,621060,6212,621060
204,788,621870,6212,621870
204,788,622870,6212,622870
204,788,623680,6212,623680
204,788,624000,6212,624000
205,796,624810,6212,624810
205,796,625810,6212,625810
205,796,626620,6212,626620
206,800,627620,6212,627620
206,800,628620,6212,628620
207,802,628940,6212,628940
208,804,629940,6212,629940
208,804,630400,6212,630400
208,804,631400,6212,631400
208,804,632210,6212,632210
208,804,633210,6212,633210
209,812,634210,6212,634210
209,812,635210,6212,635210
209,812,635210,6212,635210
209,812,636020,6212,636020
209,812,637020,6212,637020
209,812,637020,6212,637020
209,812,638020,6212,638020
209,812,638830,6212,638830
209,812,639830,6212,639830
209,812,640830,6212,640830
209,812,641830,6212,641830
209,812,642640,6212,642640
209,812,643450,6212,643450
209,812,643670,6212,643670
209,812,644670,6212,644670
209,812,645130,6212,645130
210,820,645940,6212,645940
210,820,646940,6212,646940
210,820,647940,6212,647940
211,822,648940,6212,648940
211,822,649940,6212,649940
211,822,650940,6212,650940
211,822,651940,6212,651940
211,822,651940,6212,651940
211,822,651940,6212,651940
211,822,652940,6212,652940
211,822,653940,6212,653940
211,822,654940,6212,654940
212,824,655940,6212,655940
213,832,656940,6212,656940
213,832,656940,6212,656940
214,840,656940,6212,656940
214,840,657940,6212,657940
214,840,658750,6212,658750
214,840,659750,6212,659750
214,840,660560,6212,660560
214,840,660560,6212,660560
214,840,661560,6212,661560
214,840,662560,6212,662560
214,840,663560,6212,663560
214,840,664560,6212,664560
214,840,664560,6212,664560
214,840,665560,6212,665560
214,840,666370,6212,666370
214,840,667370,6212,667370
214,840,668370,6212,668370
214,840,669370,6212,669370
215,842,670370,6212,670370
215,842,671370,6212,671370
215,842,672020,6212,672020
215,842,673020,6212,673020
216,846,674020,6212,674020
217,848,675020,6212,675020
218,852,675830,6212,675830
218,852,676830,6212,676830
218,852,677150,6212,677150
218,852,678150,6212,678150
218,852,679150,6212,679150
219,854,680150,6212,680150
219,854,680150,6212,680150
220,862,681150,6212,681150
220,862,682150,6212,682150
220,862,683150,6212,683150
220,862,684150,6212,684150
220,862,685150,6212,685150
220,862,685960,6212,685960
220,862,685960,6212,685960
220,862,685960,6212,685960
221,870,686960,6212,686960
221,870,687610,6212,687610
221,870,688610,6212,688610
222,872,689610,6212,689610
223,874,690200,6212,690200
223,874,690200,6212,690200
223,874,690430,6212,690430
223,874,691430,6212,691430
224,876,691890,6212,691890
224,876,692890,6212,692890
224,876,692890,6212,692890
224,876,693890,6212,693890
224,876,694260,6212,694260
224,876,695260,6212,695260
224,876,696070,6212,696070
224,876,697070,6212,697070
224,876,698070,6212,698070
225,884,699070,6212,699070
225,884,699540,6212,699540
225,884,700540,6212,700540
225,884,701540,6212,701540
225,884,702540,6212,702540
225,884,703540,6212,703540
225,884,704540,6212,704540
225,884,705540,6212,705540
226,886,705540,6212,705540
226,886,706000,6212,706000
226,886,707000,6212,707000
226,886,707000,6212,707000
227,894,708000,6212,708000
227,894,709000,6212,709000
227,894,709000,6212,709000
227,894,709000,6212,709000
228,902,710000,6212,710000
228,902,710000,6212,710000
228,902,711000,6212,711000
229,910,711000,6212,711000
229,910,711160,6212,711160
229,910,712160,6212,712160
229,910,712970,6212,712970
229,910,713970,6212,713970
229,910,713970,6212,713970
229,910,714970,6212,714970
229,910,715970,6212,715970
229,910,716620,6212,716620
229,910,716990,6212,716990
230,912,717220,6212,717220
230,912,718220,6212,718220
230,912,719030,6212,719030
230,912,719250,6212,719250
230,912,719720,6212,719720
230,912,720270,6212,720270
231,920,721270,6212,721270
231,920,722270,6212,722270
232,928,723270,6212,723270
232,928,723590,6212,723590
232,928,723590,6212,723590
232,928,724590,6212,724590
232,928,725060,6212,725060
232,928,725870,6212,725870
232,928,726870,6212,726870
232,928,727340,6212,727340
232,928,728150,6212,728150
233,930,729150,6212,729150
233,930,729620,6212,729620
233,930,730620,6212,730620
233,930,730780,6212,730780
233,930,731590,6212,731590
233,930,732400,6212,732400
233,930,732400,6212,732400
233,930,733400,6212,733400
234,932,734400,6212,734400
234,932,735400,6212,735400
234,932,736400,6212,736400
234,932,737400,6212,737400
235,940,738400,6212,738400
235,940,739400,6212,739400
235,940,740400,6212,740400
235,940,741210,6212,741210
235,940,742210,6212,742210
235,940,743210,6212,743210
235,940,744210,6212,744210
236,948,745210,6212,745210
236,948,746210,6212,746210
237,950,747210,6212,747210
237,950,747670,6212,747670
238,952,748480,6212,748480
238,952,749480,6212,749480
238,952,749480,6212,749480
239,954,750070,6212,750070
239,954,751070,6212,751070
239,954,752070,6212,752070
239,954,753070,6212,753070
239,954,754070,6212,754070
239,954,754880,6212,754880
239,954,755880,6212,755880
