ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
871142.87,14.09,1.4,578813.34,9.36
870764.34,14.08,1.39,578502.08,9.36
870321.62,14.08,1.39,577951.69,9.35
870220.13,14.08,1.39,577742.52,9.35
869974.19,14.07,1.38,577525.6,9.34
869780.69,14.07,1.38,577368.59,9.34
869485.13,14.07,1.38,577066.26,9.34
869754.66,14.08,1.38,577088.7,9.34
869123.17,14.07,1.38,576349.53,9.33
868929.66,14.07,1.37,576428.43,9.33
868760.67,14.07,1.37,576342.6,9.33
868760.67,14.07,1.37,576342.6,9.33
868465.11,14.06,1.37,576047.04,9.33
867304.54,14.06,1.37,575392.07,9.33
866673.05,14.05,1.36,574652.9,9.32
866479.54,14.05,1.36,574467.41,9.32
865464.15,14.05,1.36,574205.29,9.32
865295.16,14.05,1.36,574003.48,9.32
865295.16,14.05,1.36,574003.48,9.32
864916.64,14.05,1.36,573692.23,9.32
864285.15,14.04,1.35,572953.07,9.31
864285.15,14.04,1.35,572953.07,9.31
863269.76,14.04,1.35,572469.59,9.31
862638.27,14.03,1.34,571730.43,9.3
862444.76,14.03,1.34,571660.92,9.3
862444.76,14.03,1.34,571660.92,9.3
862002.04,14.03,1.34,571110.52,9.29
861370.55,14.02,1.33,570371.36,9.28
861640.08,14.03,1.33,570402.41,9.29
861008.59,14.02,1.33,569663.25,9.27
860815.08,14.02,1.32,569800.04,9.28
860452.58,14.02,1.32,569528.71,9.28
860222.69,14.01,1.32,569271.52,9.27
860222.69,14.01,1.32,569271.52,9.27
860053.7,14.01,1.32,569069.72,9.27
860391.44,14.02,1.33,569545.7,9.28
859854.19,14.01,1.32,568790.22,9.27
859685.19,14.01,1.32,568675.91,9.27
859362.58,14.01,1.32,568312.39,9.26
859169.07,14.01,1.31,568155.38,9.26
859169.07,14.01,1.31,568155.38,9.26
859438.61,14.01,1.32,568186.43,9.26
859076.11,14.01,1.32,567915.11,9.26
858060.72,14.01,1.32,567457.14,9.27
858060.72,14.01,1.32,567457.14,9.27
857867.21,14.01,1.32,567593.93,9.27
857698.22,14.01,1.32,567392.12,9.27
857832.71,14.01,1.32,567645.01,9.27
857663.72,14.01,1.32,567440.27,9.27
857798.21,14.02,1.33,567696.08,9.28
857798.21,14.02,1.33,567696.08,9.28
857629.22,14.02,1.33,567491.34,9.28
857435.71,14.02,1.32,567424.75,9.28
857227.71,14.01,1.32,567222.36,9.27
856700.16,14.01,1.31,566694.81,9.27
856704.01,14.01,1.32,566508.04,9.26
856704.01,14.01,1.32,566508.04,9.26
856535.02,14.01,1.32,566422.21,9.26
856341.51,14.01,1.31,566236.71,9.26
856341.51,14.01,1.31,566236.71,9.26
855326.12,14.01,1.32,565753.24,9.27
855326.12,14.01,1.32,565753.24,9.27
854947.6,14.0,1.31,565374.07,9.26
854778.61,14.0,1.31,565243.54,9.26
854778.61,14.0,1.31,565243.54,9.26
854110.82,14.0,1.31,564638.07,9.26
854427.44,14.01,1.32,565016.83,9.26
853808.79,14.0,1.31,564370.57,9.25
853635.23,14.0,1.31,563719.25,9.24
853348.45,14.0,1.3,563353.43,9.24
853179.46,14.0,1.3,563239.12,9.24
853174.72,14.0,1.31,563246.76,9.24
853174.72,14.0,1.31,563246.76,9.24
853001.16,14.0,1.3,562510.52,9.23
852714.38,13.99,1.3,562229.62,9.23
852545.39,13.99,1.3,562027.81,9.23
852351.88,13.99,1.3,561958.3,9.23
852182.89,13.99,1.3,561827.77,9.23
852009.34,13.99,1.3,561176.45,9.22
851722.56,13.99,1.3,560810.63,9.21
851371.39,13.99,1.29,560429.73,9.21
851177.88,13.98,1.29,560288.94,9.21
851008.89,13.98,1.29,560174.62,9.2
851008.89,13.98,1.29,560174.62,9.2
850815.38,13.98,1.29,560017.62,9.2
850641.82,13.98,1.29,559281.37,9.19
850355.04,13.98,1.29,559000.48,9.19
849339.66,13.98,1.29,558517.01,9.19
849170.66,13.98,1.29,558402.69,9.19
847868.74,13.98,1.29,557447.2,9.19
847695.18,13.98,1.29,556710.96,9.18
847397.19,13.97,1.28,556418.56,9.18
847203.68,13.97,1.28,556261.55,9.17
847298.91,13.98,1.28,556370.16,9.18
846589.77,13.97,1.28,555088.64,9.16
846227.27,13.97,1.28,554817.31,9.16
846496.81,13.98,1.28,554846.86,9.16
846118.28,13.97,1.28,554616.57,9.16
845915.1,13.97,1.28,554405.89,9.16
845721.59,13.97,1.28,554395.31,9.16
845552.6,13.97,1.28,554190.57,9.15
845092.27,13.96,1.27,553173.44,9.14
844898.76,13.96,1.27,553106.85,9.14
844894.01,13.97,1.27,553093.31,9.14
844894.01,13.97,1.27,553093.31,9.14
844725.02,13.97,1.27,552978.99,9.14
844970.04,13.97,1.28,553193.23,9.15
844801.05,13.97,1.28,552991.43,9.14
844571.16,13.97,1.27,552825.25,9.14
844377.65,13.97,1.27,552755.74,9.14
844603.42,13.97,1.28,552932.46,9.15
844429.86,13.97,1.28,552281.14,9.14
844429.86,13.97,1.28,552281.14,9.14
844143.08,13.97,1.28,551915.32,9.13
843974.09,13.97,1.27,551801.01,9.13
844219.11,13.97,1.28,552015.25,9.14
844050.12,13.97,1.28,551810.51,9.13
843034.73,13.97,1.28,551327.04,9.14
842656.21,13.97,1.28,551015.79,9.13
842462.7,13.97,1.28,550949.2,9.13
842293.71,13.97,1.27,550747.39,9.13
842100.2,13.97,1.27,550677.88,9.13
842115.41,13.97,1.28,550205.02,9.13
841946.42,13.97,1.28,550000.29,9.12
842190.87,13.97,1.28,550176.0,9.13
842435.89,13.98,1.29,550548.58,9.13
842266.9,13.98,1.29,550346.77,9.13
842262.15,13.98,1.29,550462.81,9.14
841883.63,13.97,1.28,550083.64,9.13
841714.64,13.97,1.28,549879.66,9.13
841521.13,13.97,1.28,549812.31,9.13
841355.75,13.97,1.28,549074.13,9.12
840993.25,13.97,1.28,548802.81,9.12
840993.25,13.97,1.28,548802.81,9.12
841194.0,13.98,1.28,549166.4,9.12
840854.73,13.97,1.28,548884.24,9.12
840685.74,13.97,1.28,548682.43,9.12
840502.75,13.97,1.28,548264.75,9.11
840309.24,13.97,1.27,548195.24,9.11
840578.77,13.97,1.28,548224.79,9.11
840528.77,13.97,1.28,548174.79,9.11
840528.77,13.97,1.28,548174.79,9.11
840524.03,13.97,1.28,548378.26,9.12
840355.04,13.97,1.28,548174.28,9.11
840355.04,13.97,1.28,548174.28,9.11
840161.53,13.97,1.28,548106.93,9.12
839992.54,13.97,1.28,547976.4,9.11
839614.02,13.97,1.27,547716.2,9.11
839420.51,13.97,1.27,547575.4,9.11
839690.04,13.97,1.28,547606.46,9.11
839531.4,13.97,1.28,547474.48,9.11
839357.85,13.97,1.28,546738.23,9.1
839357.85,13.97,1.28,546738.23,9.1
838342.46,13.97,1.28,546254.76,9.1
838055.68,13.97,1.28,545973.87,9.1
837862.17,13.97,1.27,546110.18,9.1
838133.01,13.97,1.28,546513.81,9.11
837902.65,13.97,1.28,546213.35,9.11
837733.66,13.97,1.28,546099.03,9.11
837540.15,13.97,1.28,545942.03,9.11
837748.61,13.97,1.28,545235.87,9.1
837489.82,13.97,1.28,545334.89,9.1
837320.83,13.97,1.28,545135.4,9.1
837127.32,13.97,1.28,545063.57,9.1
836961.93,13.97,1.28,544330.47,9.09
836732.05,13.97,1.28,544073.77,9.08
836563.06,13.97,1.27,543959.45,9.08
836369.55,13.97,1.27,543802.44,9.08
836208.49,13.97,1.27,543452.56,9.08
836039.5,13.97,1.27,543338.25,9.08
835656.81,13.96,1.27,543139.69,9.08
835791.29,13.97,1.28,543266.26,9.08
835811.07,13.97,1.28,543259.88,9.08
835603.07,13.97,1.27,543096.3,9.08
835737.56,13.97,1.28,543339.6,9.08
835568.57,13.97,1.28,543225.28,9.08
835395.01,13.97,1.28,542489.04,9.07
835608.25,13.97,1.28,542724.12,9.08
835608.25,13.97,1.28,542724.12,9.08
835434.7,13.97,1.28,542072.8,9.07
835147.92,13.97,1.28,541706.98,9.06
835143.17,13.97,1.28,541714.62,9.06
834974.18,13.97,1.28,541628.79,9.06
834780.67,13.97,1.28,541443.3,9.06
834482.68,13.97,1.28,541125.71,9.06
834202.66,13.96,1.27,540829.73,9.05
833840.16,13.96,1.27,540558.41,9.05
833840.16,13.96,1.27,540558.41,9.05
833671.17,13.96,1.27,540444.09,9.05
833477.66,13.96,1.27,540287.08,9.05
833308.67,13.96,1.27,540172.77,9.05
833115.16,13.96,1.27,540015.76,9.05
833274.16,13.96,1.27,539990.37,9.05
832258.78,13.97,1.27,539506.9,9.05
832065.27,13.96,1.27,539583.36,9.06
831896.28,13.96,1.27,539469.04,9.06
831702.77,13.96,1.27,539312.03,9.05
831702.77,13.96,1.27,539312.03,9.05
831717.98,13.96,1.27,538839.18,9.05
831548.99,13.96,1.27,538634.44,9.05
831548.99,13.96,1.27,538634.44,9.05
831450.98,13.96,1.27,538459.24,9.04
831257.47,13.96,1.27,538392.66,9.04
831470.49,13.97,1.28,538225.33,9.04
831276.98,13.97,1.28,538451.3,9.05
831107.99,13.97,1.28,538365.42,9.05
830914.48,13.97,1.27,538179.98,9.05
831184.01,13.97,1.28,538209.53,9.05
831318.5,13.98,1.28,538525.08,9.05
831338.28,13.98,1.29,538332.99,9.05
831164.72,13.98,1.29,537596.75,9.04
830971.21,13.98,1.28,537703.06,9.04
830684.43,13.97,1.28,537422.16,9.04
829669.05,13.98,1.28,536938.69,9.04
829500.06,13.98,1.28,536739.2,9.04
829306.55,13.97,1.28,536667.37,9.04
829137.56,13.97,1.28,536462.63,9.04
829132.81,13.98,1.28,536581.61,9.04
828963.82,13.98,1.28,536376.87,9.04
828585.3,13.97,1.28,536141.36,9.04
828391.79,13.97,1.28,536074.77,9.04
828391.79,13.97,1.28,536074.77,9.04
828218.23,13.97,1.28,535423.45,9.03
827931.45,13.97,1.27,535057.63,9.03
827762.46,13.97,1.27,534852.9,9.02
827762.46,13.97,1.27,534852.9,9.02
827762.46,13.97,1.27,534852.9,9.02
827712.46,13.96,1.27,534802.9,9.02
827538.9,13.96,1.27,534151.58,9.01
827345.39,13.96,1.27,534084.99,9.01
827047.4,13.96,1.27,533792.6,9.01
826760.62,13.96,1.26,533426.78,9.0
826591.63,13.96,1.26,533224.97,9.0
826398.12,13.96,1.26,533155.45,9.0
826398.12,13.96,1.26,533155.45,9.0
826413.33,13.96,1.27,532682.6,9.0
826413.33,13.96,1.27,532682.6,9.0
826254.49,13.96,1.26,532523.77,8.99
826085.5,13.95,1.26,532438.77,8.99
826085.5,13.95,1.26,532438.77,8.99
825987.49,13.95,1.26,532263.57,8.99
825987.49,13.95,1.26,532263.57,8.99
824972.11,13.96,1.26,531780.1,9.0
824304.32,13.95,1.26,531174.63,8.99
824130.76,13.95,1.26,530438.39,8.98
824130.76,13.95,1.26,530438.39,8.98
824193.98,13.96,1.26,530507.5,8.98
823831.48,13.96,1.26,530236.17,8.98
823831.48,13.96,1.26,530236.17,8.98
823826.74,13.96,1.26,530221.73,8.98
823657.75,13.96,1.26,530091.2,8.98
823657.75,13.96,1.26,530091.2,8.98
823464.24,13.96,1.26,529950.41,8.98
823464.24,13.96,1.26,529950.41,8.98
823295.25,13.96,1.26,529745.67,8.98
823429.74,13.96,1.27,530001.48,8.98
823260.75,13.96,1.27,529801.99,8.98
823067.24,13.96,1.27,529730.16,8.98
822898.25,13.96,1.26,529615.84,8.98
822606.24,13.95,1.26,529375.87,8.98
822851.25,13.96,1.27,529590.11,8.98
823010.26,13.96,1.27,529564.72,8.98
822802.26,13.96,1.27,529363.82,8.98
822423.74,13.95,1.26,529052.56,8.98
822230.23,13.95,1.26,529090.2,8.98
821579.27,13.95,1.26,528676.0,8.98
821594.48,13.95,1.26,528203.14,8.97
821806.1,13.96,1.27,528335.94,8.97
821345.76,13.96,1.26,527318.8,8.96
821176.77,13.96,1.26,527188.27,8.96
820814.27,13.95,1.26,526916.94,8.96
820948.76,13.96,1.27,527098.54,8.96
821107.77,13.96,1.27,527073.16,8.96
821103.03,13.96,1.27,527264.74,8.97
820934.04,13.96,1.27,527133.23,8.97
821179.05,13.97,1.28,527364.67,8.97
821010.06,13.97,1.28,527165.18,8.97
820631.54,13.96,1.27,526853.92,8.96
820438.03,13.96,1.27,526782.09,8.96
819787.07,13.96,1.27,526367.88,8.96
819499.9,13.96,1.26,526090.8,8.96
819330.91,13.96,1.26,526004.97,8.96
819132.91,13.95,1.26,525812.57,8.96
818939.4,13.95,1.26,525627.08,8.95
818939.4,13.95,1.26,525627.08,8.95
818765.84,13.95,1.26,524975.76,8.95
818765.84,13.95,1.26,524975.76,8.95
818479.06,13.95,1.26,524609.94,8.94
818748.59,13.95,1.26,524639.49,8.94
818555.09,13.95,1.26,524709.87,8.94
818176.56,13.95,1.26,524398.62,8.94
818007.57,13.95,1.26,524268.09,8.94
818007.57,13.95,1.26,524268.09,8.94
817814.06,13.95,1.25,524127.29,8.94
817645.07,13.95,1.25,524012.98,8.94
817881.81,13.95,1.26,524284.8,8.94
817583.81,13.95,1.25,524031.22,8.94
816568.43,13.95,1.26,523547.75,8.94
815553.04,13.95,1.26,523089.79,8.95
815384.05,13.95,1.26,522887.98,8.95
815190.54,13.95,1.26,522818.46,8.95
815190.54,13.95,1.26,522818.46,8.95
815021.55,13.95,1.26,522613.72,8.94
814006.17,13.95,1.26,522130.25,8.95
812990.78,13.95,1.26,521672.29,8.95
812797.27,13.95,1.26,521605.7,8.95
812417.02,13.95,1.25,521226.87,8.95
812248.03,13.95,1.25,521096.34,8.95
812248.03,13.95,1.25,521096.34,8.95
812493.05,13.95,1.26,521326.8,8.95
812493.05,13.95,1.26,521326.8,8.95
812493.05,13.95,1.26,521326.8,8.95
812493.05,13.95,1.26,521326.8,8.95
812324.06,13.95,1.26,521215.45,8.95
812130.55,13.95,1.26,521056.88,8.95
811961.56,13.95,1.26,520942.56,8.95
811768.05,13.95,1.26,520785.55,8.95
811599.06,13.95,1.25,520671.24,8.95
811733.55,13.95,1.26,520797.8,8.95
811355.02,13.95,1.25,520486.55,8.95
811355.02,13.95,1.25,520486.55,8.95
811186.03,13.94,1.25,520356.02,8.95
811431.05,13.95,1.26,520586.48,8.95
811052.52,13.94,1.25,520275.22,8.95
811322.06,13.95,1.26,520304.77,8.95
811128.55,13.95,1.26,520443.51,8.95
810750.02,13.94,1.25,520063.9,8.94
810581.03,13.94,1.25,519859.16,8.94
809279.11,13.94,1.25,518903.67,8.94
809274.37,13.94,1.25,519022.95,8.94
809105.38,13.94,1.25,518937.12,8.94
808807.38,13.94,1.25,518644.73,8.94
808613.87,13.94,1.24,518459.23,8.94
808440.31,13.94,1.24,517722.99,8.92
808142.31,13.93,1.24,517500.32,8.92
807855.53,13.93,1.24,517219.42,8.92
807686.54,13.93,1.24,517014.69,8.92
807493.03,13.93,1.24,516948.1,8.92
806477.65,13.93,1.24,516490.14,8.92
806477.65,13.93,1.24,516490.14,8.92
806759.06,13.94,1.24,515860.1,8.91
806590.07,13.93,1.24,515660.61,8.91
806724.56,13.94,1.25,515911.99,8.91
806752.27,13.94,1.25,515531.52,8.91
806583.28,13.94,1.25,515326.79,8.91
806404.19,13.94,1.25,515917.82,8.92
806210.68,13.94,1.25,515851.23,8.92
806195.84,13.94,1.25,515809.52,8.92
806030.46,13.94,1.25,515076.43,8.91
806037.98,13.94,1.25,514742.67,8.9
805868.99,13.94,1.25,514612.14,8.9
805675.48,13.94,1.25,514471.35,8.9
805506.49,13.94,1.25,514266.61,8.9
805312.98,13.94,1.25,514200.02,8.9
805342.85,13.94,1.25,514139.27,8.9
804966.05,13.94,1.24,513765.99,8.89
804951.21,13.94,1.25,514180.31,8.9
803649.29,13.94,1.24,513224.82,8.9
803918.82,13.94,1.25,513254.37,8.9
803745.26,13.94,1.25,512603.05,8.89
803458.49,13.94,1.25,512237.23,8.89
803264.98,13.94,1.24,512375.53,8.89
802966.98,13.93,1.24,512121.95,8.89
802966.98,13.93,1.24,512121.95,8.89
802966.98,13.93,1.24,512121.95,8.89
802982.19,13.93,1.24,511649.1,8.88
802884.17,13.93,1.24,511473.9,8.88
802515.65,13.93,1.24,511104.73,8.87
802350.27,13.93,1.24,510371.63,8.86
802619.8,13.93,1.24,510402.69,8.86
802458.74,13.93,1.24,510052.81,8.86
802250.74,13.93,1.24,509849.6,8.85
802250.74,13.93,1.24,509849.6,8.85
802057.23,13.93,1.24,509918.48,8.86
801891.85,13.93,1.24,509185.38,8.85
801899.37,13.93,1.24,508851.63,8.84
801520.84,13.93,1.23,508540.37,8.84
801679.85,13.93,1.24,508514.98,8.84
801486.34,13.93,1.24,508591.44,8.84
801516.21,13.93,1.24,508530.68,8.84
801516.21,13.93,1.24,508530.68,8.84
801312.61,13.93,1.24,508755.71,8.85
801590.41,13.94,1.25,508662.87,8.84
801585.67,13.94,1.25,508995.74,8.85
801600.88,13.94,1.25,508522.89,8.84
801502.87,13.94,1.25,508347.69,8.84
801333.88,13.94,1.25,508261.86,8.84
801125.88,13.94,1.25,508059.46,8.84
800110.5,13.94,1.25,507575.99,8.84
800336.26,13.95,1.25,507752.66,8.85
800336.26,13.95,1.25,507752.66,8.85
800167.27,13.94,1.25,507638.34,8.85
800167.27,13.94,1.25,507638.34,8.85
799973.76,13.94,1.25,507481.33,8.85
799973.76,13.94,1.25,507481.33,8.85
799804.77,13.94,1.25,507279.52,8.84
799804.77,13.94,1.25,507279.52,8.84
799800.03,13.95,1.25,507395.56,8.85
799819.81,13.95,1.26,507389.18,8.85
799626.3,13.95,1.25,507288.88,8.85
799457.31,13.95,1.25,507174.57,8.85
799263.8,13.95,1.25,507017.56,8.85
799263.8,13.95,1.25,507017.56,8.85
799422.81,13.95,1.26,506992.17,8.85
799422.81,13.95,1.26,506992.17,8.85
799249.25,13.95,1.26,506255.93,8.84
798872.45,13.94,1.25,505998.49,8.83
798585.67,13.94,1.25,505717.59,8.83
798392.16,13.94,1.25,505794.05,8.83
798411.94,13.94,1.25,505787.67,8.83
798218.43,13.94,1.25,505687.38,8.83
797550.64,13.94,1.25,505081.91,8.83
797381.65,13.94,1.25,504951.38,8.83
797381.65,13.94,1.25,504951.38,8.83
796366.27,13.94,1.25,504467.91,8.83
796172.76,13.94,1.25,504327.11,8.83
795504.97,13.94,1.25,503721.64,8.83
795774.5,13.94,1.25,503752.7,8.83
795580.99,13.94,1.25,503821.57,8.83
795412.0,13.94,1.25,503691.04,8.83
795218.49,13.94,1.25,503550.25,8.83
795023.16,13.94,1.25,503407.56,8.83
794854.17,13.94,1.25,503208.07,8.82
794660.66,13.94,1.24,503136.23,8.82
794680.44,13.94,1.25,502944.15,8.82
794506.88,13.94,1.25,502207.9,8.81
794220.1,13.94,1.24,501927.01,8.81
794046.54,13.94,1.24,501275.69,8.8
793759.76,13.93,1.24,500909.87,8.79
793566.25,13.93,1.24,501016.18,8.8
793342.31,13.93,1.24,500796.71,8.79
793357.52,13.93,1.24,500323.86,8.79
793259.5,13.93,1.24,500148.66,8.78
793274.71,13.93,1.24,499675.81,8.78
792606.92,13.93,1.24,499070.34,8.77
792320.15,13.93,1.24,498714.82,8.77
792022.15,13.92,1.23,498422.42,8.76
791643.62,13.92,1.23,498111.17,8.76
791921.43,13.92,1.23,498018.33,8.76
791727.92,13.92,1.23,498218.1,8.76
790712.54,13.93,1.23,497734.63,8.77
790538.98,13.92,1.23,496998.39,8.75
790252.2,13.92,1.23,496717.5,8.75
790083.21,13.92,1.23,496631.67,8.75
790078.47,13.92,1.23,496618.07,8.75
790078.47,13.92,1.23,496618.07,8.75
789904.91,13.92,1.23,495966.75,8.74
789759.95,13.92,1.23,495885.47,8.74
789590.96,13.92,1.23,495680.73,8.74
789208.27,13.92,1.23,495482.18,8.74
789461.49,13.92,1.23,495656.36,8.74
789267.98,13.92,1.23,495589.77,8.74
789098.99,13.92,1.23,495475.45,8.74
788905.48,13.92,1.23,495318.44,8.74
789183.29,13.93,1.24,495225.61,8.74
788989.78,13.93,1.23,495495.67,8.75
788816.22,13.93,1.23,494844.36,8.74
788439.42,13.92,1.23,494465.8,8.73
788341.41,13.92,1.23,494284.52,8.73
788172.42,13.92,1.23,494170.21,8.73
787998.86,13.92,1.23,493518.89,8.72
788062.08,13.92,1.23,493503.07,8.72
787868.57,13.92,1.23,493346.06,8.72
787699.58,13.92,1.23,493146.57,8.72
787506.07,13.92,1.23,493074.74,8.72
787521.28,13.92,1.23,492601.89,8.71
787235.74,13.92,1.23,492247.6,8.7
787505.27,13.93,1.23,492278.66,8.71
787126.75,13.92,1.23,492046.86,8.7
787352.52,13.93,1.23,492452.5,8.71
787183.53,13.93,1.23,492250.69,8.71
786990.02,13.92,1.23,492181.18,8.71
786990.02,13.92,1.23,492181.18,8.71
787198.47,13.93,1.24,491475.02,8.7
786939.68,13.93,1.23,491574.04,8.7
786939.68,13.93,1.23,491574.04,8.7
786619.68,13.92,1.23,491254.04,8.69
786619.68,13.92,1.23,491254.04,8.69
786889.21,13.93,1.24,491283.59,8.7
786695.7,13.93,1.23,491353.97,8.7
786317.18,13.92,1.23,491042.72,8.69
786336.96,13.92,1.23,491036.33,8.7
786336.96,13.92,1.23,491060.07,8.7
786143.45,13.92,1.23,490980.67,8.7
786412.98,13.93,1.24,491011.73,8.7
786408.24,13.93,1.24,491213.69,8.7
786234.68,13.93,1.24,490477.45,8.69
785947.9,13.93,1.24,490196.56,8.69
785658.62,13.92,1.23,489910.33,8.68
785280.1,13.92,1.23,489650.13,8.68
784264.71,13.92,1.23,489166.66,8.68
784095.72,13.92,1.23,489052.34,8.68
783902.21,13.92,1.23,488895.33,8.68
783743.58,13.92,1.22,488739.62,8.68
783574.59,13.92,1.22,488537.81,8.68
783819.6,13.92,1.23,488907.52,8.68
783819.6,13.92,1.23,488907.52,8.68
783650.61,13.92,1.23,488776.99,8.68
783645.87,13.92,1.23,488800.85,8.68
783476.88,13.92,1.23,488686.53,8.68
783283.37,13.92,1.23,488529.52,8.68
783053.48,13.92,1.22,488272.28,8.68
782884.49,13.92,1.22,488067.54,8.68
782690.98,13.92,1.22,488000.95,8.68
782521.99,13.92,1.22,487796.21,8.67
781871.03,13.91,1.22,487382.0,8.67
781871.03,13.91,1.22,487382.0,8.67
781677.52,13.91,1.22,487315.42,8.67
780662.13,13.91,1.22,486831.95,8.68
780662.13,13.91,1.22,486831.95,8.68
779953.0,13.91,1.22,485550.42,8.66
779784.01,13.91,1.22,485419.88,8.66
779590.5,13.91,1.22,485279.09,8.66
779416.94,13.91,1.22,484627.77,8.65
779247.95,13.91,1.22,484424.44,8.65
779149.94,13.91,1.22,484243.16,8.64
778498.98,13.91,1.22,483828.95,8.64
778494.23,13.91,1.22,483948.78,8.65
778325.24,13.91,1.22,483749.29,8.64
778662.98,13.92,1.22,484223.81,8.65
778493.99,13.92,1.22,484019.07,8.65
778300.48,13.91,1.22,483952.49,8.65
778131.49,13.91,1.22,483866.66,8.65
777957.94,13.91,1.22,483215.34,8.64
777671.16,13.91,1.22,482849.52,8.64
777477.65,13.91,1.22,482664.03,8.64
777308.66,13.91,1.22,482578.2,8.64
777115.15,13.91,1.22,482392.7,8.63
777115.15,13.91,1.22,482392.7,8.63
776946.16,13.91,1.22,482193.21,8.63
776752.65,13.91,1.21,482121.38,8.63
776767.86,13.91,1.22,481648.52,8.62
776598.87,13.91,1.22,481455.8,8.62
776313.32,13.91,1.21,481101.52,8.62
776313.32,13.91,1.21,481101.52,8.62
776313.32,13.91,1.21,481101.52,8.62
776119.81,13.9,1.21,481024.31,8.62
775827.81,13.9,1.21,480741.87,8.61
775827.81,13.9,1.21,480741.87,8.61
775843.02,13.9,1.21,480269.02,8.61
775613.61,13.9,1.21,479985.16,8.6
775328.06,13.9,1.2,479630.87,8.6
775159.07,13.9,1.2,479431.38,8.59
775159.07,13.9,1.2,479431.38,8.59
775293.56,13.9,1.21,479682.76,8.6
775124.57,13.9,1.21,479568.44,8.6
774931.06,13.9,1.21,479411.43,8.6
774757.5,13.9,1.21,478675.19,8.59
774470.72,13.9,1.2,478394.3,8.58
774301.73,13.89,1.2,478263.76,8.58
774108.22,13.89,1.2,478122.97,8.58
774108.22,13.89,1.2,478122.97,8.58
773939.23,13.89,1.2,477923.48,8.58
773773.85,13.89,1.2,477190.39,8.57
773580.34,13.89,1.2,477118.55,8.57
773411.35,13.89,1.2,477004.23,8.57
773411.35,13.89,1.2,476782.88,8.56
772395.96,13.89,1.2,476324.91,8.57
772202.45,13.89,1.2,476167.91,8.57
772033.46,13.89,1.2,476053.59,8.57
772167.95,13.9,1.2,476180.16,8.57
771869.95,13.89,1.2,475886.94,8.56
771877.47,13.89,1.2,475553.19,8.56
771708.48,13.89,1.2,475422.66,8.56
771953.49,13.9,1.21,475653.12,8.56
771779.94,13.9,1.21,474916.88,8.55
